VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount
1,2015-01-08 22:44:30,2015-01-08 22:50:18,1,.90,-73.960205078125,40.773746490478516,1,N,-73.951004028320312,40.775173187255859,2,6,0.5,0.5,0,0,7.3
1,2015-01-08 22:44:31,2015-01-08 22:53:00,1,1.40,-73.968902587890625,40.757427215576172,1,N,-73.963233947753906,40.77252197265625,2,8,0.5,0.5,0,0,9.3
2,2015-01-08 22:44:32,2015-01-08 22:50:36,3,1.81,-73.962890625,40.775127410888672,1,N,-73.942611694335938,40.789028167724609,1,7.5,0.5,0.5,1,0,9.8
1,2015-01-08 22:44:33,2015-01-08 22:53:34,1,1.50,-73.981910705566406,40.771778106689453,1,N,-73.969078063964844,40.786022186279297,1,8.5,0.5,0.5,1.5,0,11.3
2,2015-01-08 22:44:34,2015-01-08 22:48:23,1,.74,-74.004142761230469,40.747970581054688,1,N,-73.994728088378906,40.750453948974609,2,5,0.5,0.5,0,0,6.3
2,2015-01-08 22:44:35,2015-01-08 22:50:11,1,1.59,-73.956352233886719,40.771553039550781,1,N,-73.94268798828125,40.786125183105469,2,7,0.5,0.5,0,0,8.3
2,2015-01-08 22:44:33,2015-01-08 22:51:40,1,1.51,-73.98004150390625,40.754329681396484,1,N,-73.987289428710938,40.736312866210937,2,7,0.5,0.5,0,0,8.3
2,2015-01-08 22:44:33,2015-01-08 22:59:29,6,4.14,-73.991943359375,40.749088287353516,1,N,-74.0166015625,40.705295562744141,1,15.5,0.5,0.5,3.2,0,20
2,2015-01-08 22:44:36,2015-01-08 22:47:22,1,.50,-73.988288879394531,40.759178161621094,1,N,-73.982940673828125,40.764408111572266,2,4,0.5,0.5,0,0,5.3
2,2015-01-08 22:44:36,2015-01-08 22:46:58,2,.45,-73.959564208984375,40.763187408447266,1,N,-73.955764770507813,40.767356872558594,1,4,0.5,0.5,1.5,0,6.8
2,2015-01-08 22:44:36,2015-01-08 22:49:37,1,.95,-73.950736999511719,40.680450439453125,1,N,-73.967010498046875,40.684181213378906,1,5.5,0.5,0.5,1.2,0,8
2,2015-01-08 22:44:37,2015-01-08 23:11:24,1,12.86,-73.974739074707031,40.741970062255859,1,N,-73.920204162597656,40.884716033935547,1,37.5,0.5,0.5,8.09,2.44,49.33
2,2015-01-08 22:44:37,2015-01-08 22:54:33,1,3.77,-73.956764221191406,40.771064758300781,1,N,-73.977561950683594,40.725883483886719,1,13,0.5,0.5,0,0,14.3
2,2015-01-08 22:44:38,2015-01-08 23:05:03,3,4.09,-73.982963562011719,40.767971038818359,1,N,-74.009307861328125,40.715290069580078,2,17,0.5,0.5,0,0,18.3
2,2015-01-08 22:44:39,2015-01-08 22:47:02,1,.69,-74.002326965332031,40.719802856445313,1,N,-74.007225036621094,40.726997375488281,1,4.5,0.5,0.5,1,0,6.8
2,2015-01-08 22:44:39,2015-01-08 22:58:06,1,5.20,-73.959030151367188,40.771717071533203,1,N,-73.8924560546875,40.747116088867188,1,16,0.5,0.5,4.12,0,21.42
1,2015-01-08 22:44:39,2015-01-08 23:02:22,1,3.90,-73.980751037597656,40.769943237304688,1,N,-73.991859436035156,40.725872039794922,1,15,0.5,0.5,1,0,17.3
2,2015-01-08 22:44:40,2015-01-08 23:17:44,1,12.69,-73.782615661621094,40.644603729248047,1,N,-73.947494506835938,40.673301696777344,2,39,0.5,0.5,0,0,40.3
1,2015-01-08 22:44:40,2015-01-08 22:54:00,3,2.30,-73.985992431640625,40.762393951416016,1,N,-73.965927124023438,40.792213439941406,1,10,0.5,0.5,2.25,0,13.55
2,2015-01-08 22:44:41,2015-01-08 22:56:54,5,2.30,-74.0076904296875,40.740680694580078,1,N,-73.988807678222656,40.718624114990234,2,10,0.5,0.5,0,0,11.3
2,2015-01-08 22:44:43,2015-01-08 23:00:02,3,4.51,-73.981819152832031,40.758129119873047,1,N,-73.950424194335938,40.761249542236328,1,15.5,0.5,0.5,3.2,0,20
2,2015-01-08 22:44:43,2015-01-08 22:49:26,1,.76,-73.984756469726563,40.734771728515625,1,N,-73.975303649902344,40.733043670654297,1,5,0.5,0.5,1.1,0,7.4
2,2015-01-08 22:44:44,2015-01-08 22:52:16,6,1.58,-73.999107360839844,40.72998046875,1,N,-73.978782653808594,40.731136322021484,1,7.5,0.5,0.5,1.6,0,10.4
